,iupac,smiles,expt,calc,xyz
0,"4-methoxy-N,N-dimethyl-benzamide",CN(C)C(=O)c1ccc(cc1)OC,-11.01,-9.625,"26

C          1.08400        0.09215        0.06834
N          2.54067        0.05950        0.07961
C          3.21828       -0.83205       -0.84359
C          3.21817        0.94727        0.91090
O          2.64598        1.76473        1.63619
C          4.70330        0.93542        0.92617
C          5.40744       -0.08302        1.57471
C          6.79480        0.03047        1.74162
C          7.49525        1.10903        1.19001
C          6.79631        2.05997        0.44467
C          5.39900        2.00938        0.36571
O          8.83951        1.13833        1.45260
C          9.56020        2.26412        0.95613
H          0.67468       -0.63309       -0.64101
H          0.73755        1.09375       -0.20674
H          0.71262       -0.14443        1.07038
H          2.50241       -1.41174       -1.43113
H          3.84197       -1.52279       -0.27197
H          3.84676       -0.24196       -1.51604
H          4.88379       -0.94499        1.97781
H          7.33075       -0.71899        2.32068
H          7.30836        2.86732       -0.06765
H          4.85958        2.81650       -0.12276
H         10.59476        2.19525        1.30714
H          9.14911        3.20863        1.33143
H          9.57849        2.25088       -0.13831
"
1,methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,-6.219,"8

C          1.04256        0.06654        0.08839
S          2.81358        0.10774        0.14276
O          3.25505        1.44760       -0.18446
O          3.25508       -0.57356        1.34230
Cl         3.46845       -1.06121       -1.40461
H          0.66252        0.68355        0.90521
H          0.70869       -0.96509        0.21297
H          0.70869        0.46846       -0.86988
"
2,3-methylbut-1-ene,CC(C)C=C,1.83,2.452,"15

C          0.89567       -0.02511       -0.00139
C          2.42581       -0.01325        0.02007
C          2.92194        1.36462        0.46419
C          2.96307       -1.10114        0.91955
C          4.27260       -1.33066        1.09871
H          0.51270        0.74688       -0.67796
H          0.48214        0.16676        0.99527
H          0.51159       -0.99129       -0.34644
H          2.77440       -0.20695       -1.00301
H          2.58336        1.59542        1.48069
H          2.54968        2.14674       -0.20492
H          4.01570        1.42112        0.45531
H          2.24828       -1.72389        1.45384
H          5.02394       -0.73823        0.58604
H          4.61969       -2.10843        1.76963
"
3,2-ethylpyrazine,CCc1cnccn1,-5.45,-5.809,"16

C          0.94910        0.03233        0.07504
C          2.46691        0.06600        0.14576
C          2.94620        0.60561        1.46550
C          2.75354        1.94736        1.79127
N          3.21928        2.50371        2.93412
C          3.85625        1.65392        3.76467
C          3.99583        0.30458        3.48329
N          3.55955       -0.24431        2.32394
H          0.61901       -0.35053       -0.89501
H          0.52200        1.03292        0.20259
H          0.53678       -0.60980        0.86016
H          2.86784        0.68895       -0.66323
H          2.86485       -0.94402       -0.01175
H          2.20371        2.61493        1.13897
H          4.25279        2.08769        4.67554
H          4.45816       -0.37375        4.18888
"
4,heptan-1-ol,CCCCCCCO,-4.21,-2.917,"24

C          0.90980        0.05569        0.05241
C          2.42810        0.04789        0.06041
C          2.96043       -0.95378        1.07990
C          4.48571       -0.96496        1.09143
C          5.00817       -1.96935        2.11361
C          6.53150       -1.98850        2.13185
C          7.05138       -2.99167        3.14992
O          8.47185       -2.98338        3.15048
H          0.53756        0.77649       -0.68114
H          0.51693        0.33306        1.03584
H          0.51696       -0.93246       -0.20768
H          2.79646        1.05287        0.29712
H          2.79649       -0.20648       -0.94025
H          2.58656       -1.95738        0.84225
H          2.58644       -0.69864        2.07913
H          4.86167        0.03707        1.33135
H          4.86161       -1.22245        0.09373
H          4.62917       -2.97032        1.87330
H          4.62975       -1.71146        3.11037
H          6.92316       -0.99086        2.36655
H          6.91989       -2.23747        1.13643
H          6.70857       -4.00522        2.91786
H          6.70824       -2.73540        4.15681
H          8.76453       -3.21909        2.25538
"
5,"3,5-dimethylphenol",Cc1cc(cc(c1)O)C,-6.27,-5.444,"19

C          1.06543       -0.09023        0.04473
C          2.56426       -0.07006        0.04550
C          3.25589        1.14792        0.04587
C          4.65594        1.18086        0.04684
C          5.37133       -0.02350        0.05027
C          4.68213       -1.23415        0.04954
C          3.29183       -1.26567        0.04596
O          5.34524       -2.42709        0.05222
C          5.38156        2.49308        0.04256
H          0.65469        0.92541        0.04601
H          0.69289       -0.60096        0.93798
H          0.69342       -0.59881       -0.84993
H          2.69606        2.08128        0.04499
H          6.45650       -0.00258        0.05272
H          2.77975       -2.22480        0.04400
H          6.29959       -2.24998        0.05755
H          4.68141        3.33547        0.03912
H          6.00687        2.57463       -0.85173
H          6.00704        2.58136        0.93599
"
6,"2,3-dimethylbutane",CC(C)C(C)C,2.34,2.468,"20

C          0.97786        0.06124        0.12082
C          2.51177        0.05386        0.07639
C          3.00774       -1.17412        0.85162
C          3.05386        0.08273       -1.38053
C          2.55789        1.31071       -2.15577
C          4.58778        0.07535       -1.42496
H          0.61968        0.02585        1.15564
H          0.56445       -0.80238       -0.41017
H          0.56126        0.96934       -0.32389
H          2.86767        0.94906        0.60110
H          2.69964       -2.10184        0.35855
H          2.60167       -1.18037        1.86920
H          4.09696       -1.18245        0.94905
H          2.69796       -0.81247       -1.90524
H          2.86599        2.23843       -1.66269
H          1.46867        1.31904       -2.25319
H          2.96397        1.31695       -3.17334
H          5.00118        0.93897       -0.89397
H          4.94595        0.11074       -2.45978
H          5.00438       -0.83276       -0.98025
"
7,2-methylpentan-2-ol,CCCC(C)(C)O,-3.92,-2.779,"21

C          0.95045       -0.07231       -0.03886
C          2.46532       -0.09376       -0.02469
C          3.07003        1.08187       -0.79642
C          4.61207        1.08663       -0.79731
C          5.17779        1.22130        0.61874
C          5.17496       -0.15914       -1.48345
O          5.05447        2.21657       -1.55960
H          0.56724       -0.92938        0.52403
H          0.56893       -0.13563       -1.06184
H          0.56883        0.84129        0.42563
H          2.79704       -1.04321       -0.45603
H          2.79717       -0.07526        1.01796
H          2.70395        2.02881       -0.37623
H          2.70765        1.07316       -1.83371
H          4.91617        0.36670        1.24985
H          4.80561        2.13282        1.10039
H          6.26971        1.29955        0.59934
H          4.91312       -1.07844       -0.95185
H          6.26727       -0.11193       -1.54815
H          4.80336       -0.23547       -2.51210
H          4.72885        3.02038       -1.12703
"
8,"1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C,1.58,1.685,"24

C          3.00116        0.28170        1.54860
C          2.57704       -0.04481        0.11543
H          1.47868       -0.01535        0.09436
C          3.00936       -1.46975       -0.26644
C          2.56969       -1.82587       -1.68612
C          3.05641       -0.80444       -2.71012
C          2.62037        0.60857       -2.32494
C          3.09126        0.99514       -0.91088
H          2.64586        1.96954       -0.66596
C          4.61559        1.17051       -0.88271
H          4.08654        0.23776        1.67467
H          2.56321       -0.43279        2.25360
H          2.66179        1.28361        1.83306
H          2.57630       -2.19260        0.43601
H          4.09687       -1.57207       -0.18346
H          1.47569       -1.87809       -1.72228
H          2.94670       -2.82094       -1.94952
H          2.66146       -1.05621       -3.70123
H          4.14739       -0.85331       -2.79103
H          1.52555        0.66710       -2.36924
H          2.99947        1.32739       -3.06179
H          4.93446        1.89807       -1.63558
H          5.14423        0.23383       -1.08495
H          4.95764        1.53757        0.08854
"
9,butan-2-ol,CC[C@H](C)O,-4.62,-3.145,"15

C          2.52069        0.81005        2.74913
C          2.54832       -0.67514        2.41827
C          3.04166       -0.95458        0.99645
H          2.67648       -0.19388        0.29757
C          2.57841       -2.33126        0.53658
O          4.46710       -0.90981        0.98589
H          2.14949        0.95440        3.76926
H          1.84830        1.34681        2.07157
H          3.51552        1.25893        2.68026
H          1.53385       -1.06745        2.54966
H          3.19839       -1.17937        3.14398
H          2.95978       -2.55920       -0.46383
H          1.48492       -2.38390        0.51002
H          2.94966       -3.11375        1.20706
H          4.76533       -1.15220        0.09442
"
